,Name,Price €,Kilometer,Gear Type,First Registration,Gas Type,Power,Energy Efficiency,Environment Index,CO2,Registration Year,Powerhorse
378,BMW 320 i Touring Aut. HUD NAVI LED Sound Syst. PDC V+H,36900.0,15436.0,Automatik,04/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
379,BMW 320 iA Lim. M Sport NaviProf.HUD.Ambiente.PDC.DAB,34649.0,29970.0,Automatik,09/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
380,BMW 320 i Limousine Navi Sitzheiz. PDC DAB,29780.0,22374.0,Automatik,11/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
381,BMW 320 i Tour M Sportpaket ACC*Headup*HIFI*M-Alu18,37900.0,25500.0,Automatik,08/2023,Benzin,135 kW (184 PS),"7,0 l/100 km (komb.)",159 g/km (komb.),,2023,184
382,BMW 320 i Lim. M Sport adptLED RFK KZU ACC 3-Z HiFi,37400.0,25500.0,Automatik,04/2024,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2024,184
383,BMW 320 i Touring M Sport ACC HuD RFK HiFi QI adp.LED,33370.0,31500.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
384,BMW 320 i Sport Line LED PDC DAB SHZ Navi Prof,30280.0,59990.0,Automatik,09/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
385,BMW 320 i AUTOM. LUXURY LEDER LC-PROF HUD SD KAMERA,34800.0,26000.0,Automatik,07/2021,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",146 g/km (komb.),,2021,184
386,BMW 320 i M Sport Touring LED NAVI RFK ACC SHZ*SOFORT,42689.0,13168.0,Automatik,09/2023,Benzin,135 kW (184 PS),"7,5 l/100 km (komb.)",169 g/km (komb.),CO₂-Klasse F (komb.),2023,184
387,BMW 320 i Touring M Sport Laser DAB Hifi Parkassisten,33839.0,46700.0,Automatik,05/2022,Benzin,135 kW (184 PS),"7,0 l/100 km (komb.)",159 g/km (komb.),CO₂-Klasse F (komb.),2022,184
388,BMW 320 320i Aut. Advantage,31500.0,21500.0,Automatik,05/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
389,BMW 320 i M-Sport HUD Hifi SportLenk MemoSitze AdLED ACC E,36733.0,22990.0,Automatik,05/2023,Benzin,135 kW (184 PS),"7,5 l/100 km (komb.)",169 g/km (komb.),CO₂-Klasse F (komb.),2023,184
390,BMW 320 i M Sport Aut.*NAVI*HEAD-UP*CAM*SHZ*,34160.0,31680.0,Automatik,07/2021,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",154 g/km (komb.),,2021,184
391,BMW 320 i Touring Klima PDC DAB Sitzhzg. Lordosenstütze,31480.0,63603.0,Automatik,02/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
392,BMW 320 320i M Sport Aut.*NAVI*ACC*CAM*PDC*SHZ*LIM*ALU*,31990.0,64652.0,Automatik,10/2020,Benzin,135 kW (184 PS),"6,1 l/100 km (komb.)",154 g/km (komb.),,2020,184
393,BMW 320 i Touring Aut.~HEAD-UP~PANO~LED~TRAVEL PAKET,33900.0,27081.0,Automatik,07/2023,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",154 g/km (komb.),,2023,184
394,"BMW 320 i M-Sport Aut Nav LED AHK PDCv+h Komfzg 19""",43230.0,28633.0,Automatik,07/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
395,"BMW 320 i A Tou M Sport,LCPlus,ACC,RFK,DAB,HIFI",39519.0,4217.0,Automatik,06/2024,Benzin,135 kW (184 PS),"6,8 l/100 km (komb.)",153 g/km (komb.),CO₂-Klasse E (komb.),2024,184
396,BMW 320 i xDrive limo Aut/Laser/HeadUp/Kamera/ACC,35440.0,29728.0,Automatik,09/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
397,BMW 320 i Tour M Sportpaket Ad.LED°ACC°el.Sitze+Mem.,35500.0,27860.0,Automatik,08/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",160 g/km (komb.),,2023,184
398,BMW 320 i M Sport MEMORY/ACC/ADAPTIVLED/SCHIEBEDACH,39999.0,24500.0,Automatik,04/2024,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",156 g/km (komb.),CO₂-Klasse F (komb.),2024,184
